CT.PA.1,CT.PA.2,KD.PA.3,KD.PA.4,CT.SI.5,KD.SI.6,CT.SI.7
FBgn0039958,380,446,479,460,1289,1650,1088
FBgn0039959,1112,992,857,763,3613,3604,2797
FBgn0039965,206,259,232,248,707,584,417
FBgn0039966,65,81,67,50,143,130,104
FBgn0039969,226,251,255,230,680,1149,808
FBgn0039970,468,498,441,488,1513,1388,1005
FBgn0039972,3835,3798,3976,3771,11683,11006,7942
FBgn0039977,202,194,168,173,904,817,462
FBgn0039979,26,23,26,34,54,76,69
FBgn0039993,804,909,909,900,2293,2957,1967
FBgn0039994,355,382,347,331,1056,1456,876
FBgn0040001,52,46,54,35,144,184,110
FBgn0040005,222,270,245,242,890,1057,696
FBgn0040007,1057,1560,1623,1272,4463,10464,6933
FBgn0040009,338,351,212,225,1003,798,764
FBgn0040010,884,874,933,880,2646,2967,1688
FBgn0040011,1599,1655,1608,1724,4722,4905,3240
FBgn0040020,68,85,84,73,213,287,203
FBgn0040022,549,512,485,485,1827,1925,1075
FBgn0040056,267,272,236,181,966,1074,724
FBgn0040064,930,1257,1072,1280,1878,1656,1288
FBgn0040066,631,750,622,727,1625,953,706
FBgn0040068,821,920,953,986,1735,1301,1222
FBgn0040070,1945,2639,3136,3547,5067,5482,3583
FBgn0040071,1081,973,839,976,1834,1158,981
FBgn0040075,540,636,695,761,1199,938,828
FBgn0040078,494,632,748,792,1080,1027,1010
FBgn0040079,391,451,383,469,861,668,594
FBgn0040080,1250,1308,1619,1711,2775,2583,1896
FBgn0040087,890,1011,1076,1162,1657,1429,1353
FBgn0040089,1004,1030,1170,1213,2041,1476,1057
FBgn0040091,901,1269,408,413,2092,648,1771
FBgn0040099,772,952,225,267,2170,622,1132
FBgn0040153,82,45,72,91,169,199,48
FBgn0040206,536,633,592,604,1547,1465,1024
FBgn0040207,672,776,749,772,1637,1315,1119
FBgn0040208,684,722,790,820,1508,1035,925
FBgn0040212,359,367,445,500,668,731,616
FBgn0040227,2612,3180,3003,3320,5533,3784,4046
FBgn0040228,118,182,154,224,322,256,209
FBgn0040230,441,516,520,550,1094,948,676
FBgn0040232,1496,1354,1481,1397,3828,3737,2746
FBgn0040234,458,432,425,459,666,515,436
FBgn0040235,287,319,277,334,528,350,295
FBgn0040236,2091,2102,2540,2655,3919,3615,2930
FBgn0040237,1360,1638,1678,1736,2757,2009,2160
FBgn0040238,1205,1260,1627,1813,2496,2852,2149
FBgn0040239,188,258,249,278,802,593,524
FBgn0040250,73,83,79,73,172,174,108
FBgn0040251,234,225,263,325,559,736,337
FBgn0040256,66,79,67,68,135,142,102
FBgn0040259,1285,1480,1490,1680,3155,2717,1598
FBgn0040260,253,276,220,237,568,415,296
FBgn0040262,36,43,45,48,103,83,55
FBgn0040268,1331,1535,1451,1556,3160,2318,2066
FBgn0040271,507,574,1181,1120,1224,2128,881
FBgn0040273,1061,1228,1262,1405,2156,1835,1769
FBgn0040283,1039,1145,1029,1088,2585,1968,1501
FBgn0040284,1445,1572,1922,1894,3133,2891,2069
FBgn0040285,1358,1621,1661,1775,3702,3575,2560
FBgn0040286,924,1066,1161,1082,1501,1609,1268
FBgn0040290,544,584,455,443,1277,663,837
FBgn0040294,460,486,581,618,1038,917,624
FBgn0040297,1269,1233,1182,1220,2726,2356,2188
FBgn0040298,161,196,206,231,419,348,312
FBgn0040299,210,205,245,253,499,422,533
FBgn0040305,383,398,379,437,923,548,522
FBgn0040308,364,487,617,688,976,1139,798
FBgn0040309,7401,9619,9960,11421,20242,15180,11008
FBgn0040319,1215,1330,1243,1410,2618,1766,1782
FBgn0040321,1206,1439,1231,1520,2733,2211,1896
FBgn0040322,412,581,445,480,1153,796,685
FBgn0040323,220,269,289,330,517,519,349
FBgn0040324,539,544,567,515,1701,1956,1598
FBgn0040333,42,26,31,51,42,43,53
FBgn0040334,554,711,692,753,1220,1035,948
FBgn0040336,252,300,298,294,408,349,450
FBgn0040337,130,113,150,183,227,229,149
FBgn0040339,58,76,79,82,207,160,125
FBgn0040340,550,724,785,877,1183,1004,914
FBgn0040344,317,319,344,330,637,555,510
FBgn0040346,175,186,229,231,413,273,270
FBgn0040347,61,54,61,51,96,100,80
FBgn0040348,32,33,48,43,66,72,49
FBgn0040364,54,56,66,104,70,111,86
FBgn0040366,40,38,37,42,70,76,62
FBgn0040372,436,438,428,428,1242,929,702
FBgn0040373,46,44,73,73,98,176,75
FBgn0040375,263,312,271,350,531,448,383
FBgn0040382,236,229,333,355,515,432,355
FBgn0040383,252,323,259,351,504,388,294
FBgn0040384,153,201,141,141,374,266,275
FBgn0040388,1190,1164,721,744,2570,1167,2444
FBgn0040389,171,256,268,300,385,404,322
FBgn0040394,851,959,1059,1151,1474,1141,1055
FBgn0040395,1647,1797,1963,2034,3880,3170,2198
FBgn0040396,211,262,264,342,525,511,301
FBgn0040397,148,131,131,159,381,313,133
FBgn0040398,3124,4252,2336,2720,6335,2887,5460
FBgn0040465,20,28,46,26,48,40,39
FBgn0040466,61,75,107,140,274,304,175
FBgn0040467,17,30,37,42,46,33,47
FBgn0040475,1411,1723,1561,1630,2571,1965,2132
FBgn0040477,110,140,107,102,261,110,173
FBgn0040493,1548,1842,1512,1774,2936,2159,2362
FBgn0040505,37,33,19,16,72,32,18
FBgn0040512,594,833,886,973,1539,1512,1317
FBgn0040529,691,975,1059,1118,1937,2398,1726
FBgn0040534,64,94,110,117,311,230,164
FBgn0040600,269,296,368,363,812,766,489
FBgn0040602,179,273,283,277,371,648,411
FBgn0040609,142,192,171,190,396,237,182
FBgn0040636,31,35,24,25,75,68,58
FBgn0040650,20,31,34,31,31,50,43
FBgn0040660,858,1151,894,904,2489,1582,1376
FBgn0040666,143,193,187,269,361,332,241
FBgn0040670,27,35,31,37,69,68,50
FBgn0040751,25,36,46,39,80,79,44
FBgn0040752,5196,4369,2847,2872,9268,4134,4507
FBgn0040754,66,85,77,82,282,248,138
FBgn0040765,1308,1313,1644,1721,3937,5266,2706
FBgn0040773,426,755,819,822,1626,1746,1050
FBgn0040777,3561,4318,4057,4582,7172,5903,5864
FBgn0040793,645,981,1027,1060,1777,1800,1547
FBgn0040813,26529,43743,19329,18608,151434,58107,58220
FBgn0040827,208,223,51,67,529,114,254
FBgn0040837,129,174,152,144,331,213,139
FBgn0040890,106,172,159,201,349,244,215
FBgn0040899,124,200,180,226,325,320,197
FBgn0040907,73,107,86,91,250,267,163
FBgn0040918,2664,2913,3179,3505,6286,5365,4696
FBgn0040929,53,63,65,69,122,120,108
FBgn0040931,146,227,229,227,329,356,296
FBgn0040942,169,191,245,301,857,751,305
FBgn0040954,471,607,566,644,1870,1284,694
FBgn0040964,70,91,119,112,169,163,95
FBgn0040985,742,941,1066,1200,2572,2185,1551
FBgn0041004,682,627,701,704,2144,2194,1309
FBgn0041087,521,652,1377,1575,1235,2002,1946
FBgn0041092,5018,4679,4721,4878,9094,5786,4205
FBgn0041094,1450,1414,1163,1382,3668,2302,1494
FBgn0041096,34,40,46,39,47,74,45
FBgn0041100,76,112,116,135,185,145,143
FBgn0041111,1910,1650,1795,1854,3870,2545,1952
FBgn0041147,74,94,118,136,150,206,160
FBgn0041161,408,516,610,578,907,819,702
FBgn0041164,1412,1631,1683,1695,3548,3422,2764
FBgn0041171,1776,1967,1824,1815,3455,2416,2650
FBgn0041174,47,65,66,85,108,84,72
FBgn0041180,6127,7420,5665,5777,14579,9714,11939
FBgn0041182,1418,1498,1806,1977,2898,3428,2535
FBgn0041183,115,137,86,96,284,171,234
FBgn0041184,626,583,608,724,1027,1007,638
FBgn0041186,418,517,441,486,1099,789,658
FBgn0041188,4164,3939,3585,3849,8529,4982,3619
FBgn0041191,478,608,471,507,1630,988,947
FBgn0041203,1418,1315,1335,1307,2678,2164,2278
FBgn0041205,1100,1338,1281,1388,2826,2145,1562
FBgn0041210,7031,6545,6281,6878,11687,8152,6611
FBgn0041225,12,22,38,32,40,53,38
FBgn0041342,2905,3371,2502,2717,5455,2898,4171
FBgn0041582,652,604,725,718,1202,985,798
FBgn0041585,758,827,922,940,1763,1570,1181
FBgn0041588,511,596,742,809,1044,1076,688
FBgn0041604,165,181,291,299,417,529,287
FBgn0041605,26,17,42,40,75,98,20
FBgn0041607,510,615,471,467,1335,836,910
FBgn0041627,300,342,443,513,699,708,364
FBgn0041629,7598,9231,13632,14958,12383,15572,10168
FBgn0041630,603,773,800,851,1059,1036,820
FBgn0041702,150,178,195,207,395,416,301
FBgn0041710,2403,3307,3476,3840,5800,5921,4948
FBgn0041712,67,80,82,76,125,98,128
FBgn0041723,30,47,43,50,54,31,85
FBgn0041775,3143,3186,3211,3441,6145,4612,3565
FBgn0041781,1438,1664,1624,1700,3216,2138,2180
FBgn0041789,2202,2444,2835,3137,5083,4056,3634
FBgn0042083,392,552,587,612,945,857,620
FBgn0042085,1856,1902,2011,2202,4166,2592,2718
FBgn0042092,76,120,106,104,321,211,192
FBgn0042094,89,89,57,52,240,103,146
FBgn0042104,29,32,54,61,99,107,56
FBgn0042111,634,694,635,773,1397,959,931
FBgn0042112,110,162,181,198,360,242,215
FBgn0042132,239,318,308,327,598,408,395
FBgn0042133,31,52,34,41,94,83,116
FBgn0042134,3246,3342,3808,4008,6606,5031,3867
FBgn0042135,1015,1130,1109,1336,2414,1982,1729
FBgn0042138,738,906,782,847,1407,1189,1284
FBgn0042174,1730,2126,2297,2227,5000,5448,4208
FBgn0042175,13,53,46,27,120,115,170
FBgn0042177,134,182,237,189,569,471,548
FBgn0042178,43,66,69,58,286,221,231
FBgn0042180,172,229,202,234,393,311,329
FBgn0042185,201,209,186,192,456,468,407
FBgn0042205,32,30,25,48,87,73,53
FBgn0042206,19,22,19,26,74,75,46
FBgn0042213,191,258,265,300,656,608,325
FBgn0042627,69,75,68,60,132,71,83
FBgn0042693,940,1008,1074,1188,2297,1994,1503
FBgn0042712,658,716,929,1027,1340,1061,933
FBgn0043001,92,111,118,129,215,191,152
FBgn0043010,223,295,273,322,564,471,392
FBgn0043012,93,143,114,152,232,192,232
FBgn0043025,28,25,38,22,68,54,55
FBgn0043070,712,778,930,1099,1473,1361,951
FBgn0043362,1027,1068,935,942,1994,1334,1299
FBgn0043364,883,1026,427,506,3467,1126,1305
FBgn0043455,146,168,137,166,448,254,186
FBgn0043456,2503,2865,2698,3011,6184,4366,4005
FBgn0043457,118,125,130,166,289,195,123
FBgn0043458,1305,1462,1545,1579,2348,2140,1966
FBgn0043796,251,286,325,343,501,343,324
FBgn0043806,806,1011,1184,1432,1720,1778,1430
FBgn0043841,11155,14749,8177,9629,28511,13716,14958
FBgn0043842,780,1051,884,910,3599,3056,2020
FBgn0043854,125,146,113,131,314,151,97
FBgn0043884,9065,7638,9011,8681,17449,12343,10142
FBgn0043900,848,786,847,790,1745,1313,912
FBgn0043903,1187,1286,1759,1691,2029,1884,1515
FBgn0044020,63,134,147,137,188,285,136
FBgn0044028,615,534,629,645,1326,1057,763
FBgn0044030,74,146,144,143,144,160,167
FBgn0044047,379,423,242,273,1083,504,678
FBgn0044323,3182,3315,3043,3447,6545,4452,3617
FBgn0044324,1006,1086,1130,1097,2707,1875,1631
FBgn0044452,1679,1803,1566,1737,3324,2562,2243
FBgn0044510,93,90,96,93,419,500,299
FBgn0044511,83,153,133,152,338,401,245
FBgn0044823,111,96,143,116,265,282,163
FBgn0044826,1816,1864,1943,2119,4679,4009,2809
FBgn0044871,219,282,242,332,485,435,407
FBgn0045035,1466,1392,1390,1360,3758,3285,2420
FBgn0045063,1732,1820,2047,2067,4068,3150,2880
FBgn0045064,483,612,565,558,1092,945,883
FBgn0045073,1126,1355,1258,1347,2945,2409,2126
FBgn0045469,29,14,29,19,34,50,44
FBgn0045761,1092,986,1083,1168,3308,2701,1396
FBgn0045800,71,80,69,93,132,308,94
FBgn0045823,6905,7382,9078,10238,14950,13235,11913
FBgn0045842,1282,1454,1349,1484,2984,2184,2286
FBgn0045852,1773,1851,1350,1290,4133,1958,2074
FBgn0045862,831,832,898,974,1472,926,720
FBgn0045866,804,1192,1332,1438,2029,2101,1977
FBgn0046114,263,343,329,404,543,438,420
FBgn0046214,1568,1995,2607,2372,4054,4004,3484
FBgn0046222,523,648,629,665,1200,862,769
FBgn0046225,114,149,179,198,267,263,134
FBgn0046247,309,369,334,367,813,624,473
FBgn0046296,127,176,174,225,284,264,198
FBgn0046301,154,183,162,185,284,279,219
FBgn0046322,116,145,113,120,372,214,274
FBgn0046685,826,969,1142,1153,1597,1445,1194
FBgn0046687,1336,1654,1185,1322,2224,1564,2572
FBgn0046692,91,111,83,89,393,563,304
FBgn0046696,31,34,32,34,75,53,41
FBgn0046704,1840,1675,1770,1862,3290,2500,2004
FBgn0046706,91,89,88,103,350,560,238
FBgn0046763,1337,1572,1247,1388,4592,2621,3120
FBgn0046776,237,331,351,378,928,804,568
FBgn0047038,498,727,632,734,1421,957,760
FBgn0047114,74,87,77,74,281,256,127
FBgn0047135,782,1262,1233,1296,3019,3369,2294
FBgn0047178,99,140,111,134,219,244,160
FBgn0047205,501,402,347,328,1386,1093,698
FBgn0050000,361,488,511,535,919,1097,708
FBgn0050001,45,64,64,62,123,171,110
FBgn0050005,134,170,153,178,313,295,253
FBgn0050007,412,392,382,336,1164,1041,746
FBgn0050011,3335,3243,2925,2974,9131,5547,4994
FBgn0050015,2396,2318,2612,2800,5081,3861,2862
FBgn0050020,891,985,1065,1011,1946,1536,1414
FBgn0050022,213,281,281,315,743,546,353
FBgn0050035,726,789,1268,1349,1535,1816,1336
FBgn0050044,35,31,23,27,64,32,43
FBgn0050046,802,905,780,785,1765,1101,1118
FBgn0050051,22,43,31,31,87,155,120
FBgn0050055,114,136,101,113,354,255,223
FBgn0050069,1056,910,604,574,2922,1338,1868
FBgn0050077,74,114,118,130,220,185,145
FBgn0050085,1752,2071,1665,1613,3774,2392,2943
FBgn0050089,495,437,450,515,831,616,160
FBgn0050090,280,357,316,344,681,585,589
FBgn0050094,44,59,49,57,140,95,73
FBgn0050105,36,62,39,56,193,152,97
FBgn0050109,78,138,111,134,321,243,168
FBgn0050115,693,644,853,888,1246,1136,659
FBgn0050118,569,685,668,687,1464,1089,849
FBgn0050122,4681,4803,4997,5244,9235,6877,6170
FBgn0050147,797,945,477,547,1819,741,1206
FBgn0050148,31,58,29,33,88,27,103
FBgn0050156,94,128,129,128,222,191,186
FBgn0050157,28,44,41,32,66,58,29
FBgn0050159,403,410,452,514,921,680,554
FBgn0050169,127,130,102,127,349,315,240
FBgn0050183,235,239,269,290,435,368,292
FBgn0050184,21,32,38,53,32,47,34
FBgn0050185,220,281,417,420,538,620,380
FBgn0050187,757,809,804,855,1848,1923,1281
FBgn0050269,112,130,61,102,249,105,170
FBgn0050273,106,90,62,97,314,120,171
FBgn0050291,311,443,400,450,711,478,485
FBgn0050295,130,142,135,170,333,254,191
FBgn0050323,131,101,105,101,206,180,172
FBgn0050338,31,34,27,37,91,71,57
FBgn0050339,268,336,355,377,624,595,463
FBgn0050340,84,108,78,103,230,202,159
FBgn0050342,312,368,377,408,718,541,452
FBgn0050344,448,532,388,453,1035,724,815
FBgn0050345,171,133,156,118,469,712,454
FBgn0050349,877,1109,940,1042,2224,1352,1575
FBgn0050357,22,28,26,32,74,64,50
FBgn0050359,21,34,57,63,41,63,13
FBgn0050372,1057,1150,1263,1323,2175,1918,1554
FBgn0050373,119,192,175,201,334,234,242
FBgn0050381,62,91,119,123,207,149,174
FBgn0050383,35,43,49,57,67,127,92
FBgn0050389,1911,1880,2608,2900,4029,3741,2898
FBgn0050390,100,157,114,173,216,180,181
FBgn0050392,112,164,140,149,339,283,177
FBgn0050394,431,458,499,526,979,1102,758
FBgn0050403,14,26,27,43,41,44,27
FBgn0050404,413,437,458,541,1115,881,696
FBgn0050410,568,776,1007,949,1060,927,829
FBgn0050414,41,55,77,67,105,106,79
FBgn0050420,141,177,145,167,350,247,218
FBgn0050421,1096,1167,1328,1461,2544,2051,1588
FBgn0050423,639,751,699,863,1824,1362,1288
FBgn0050428,71,60,57,74,220,192,138
FBgn0050438,143,166,161,158,302,343,222
FBgn0050440,116,93,91,97,359,357,279
FBgn0050443,174,211,198,245,358,303,261
FBgn0050456,543,647,648,702,1206,1049,679
FBgn0050460,361,337,384,422,749,547,302
FBgn0050463,10,10,64,47,15,129,14
FBgn0050466,37,28,40,29,114,151,99
FBgn0050467,155,157,170,170,229,254,201
FBgn0050476,52,72,68,82,201,183,132
FBgn0050491,23,19,29,34,73,66,43
FBgn0050493,60,56,60,102,124,155,117
FBgn0050496,164,192,224,255,406,390,293
FBgn0050497,5426,4810,5028,5741,11868,8551,4441
FBgn0050499,409,566,676,693,877,932,712
FBgn0050502,43,49,52,59,77,85,64
FBgn0051005,224,247,188,197,599,322,358
FBgn0051029,32,29,41,34,60,49,30
FBgn0051032,47,42,58,64,48,43,26
FBgn0051038,695,672,382,403,1106,458,654
FBgn0051040,279,396,394,447,635,638,504
FBgn0051044,93,90,73,69,327,257,43
FBgn0051064,602,617,674,640,1073,881,737
FBgn0051068,22,26,28,25,61,46,53
FBgn0051072,421,496,473,517,966,774,636
FBgn0051075,1074,1350,1506,1669,2067,2004,2025
FBgn0051092,37,38,210,227,90,330,58
FBgn0051098,129,154,102,89,335,168,185
FBgn0051108,234,204,183,205,554,456,334
FBgn0051109,45,43,45,61,141,115,84
FBgn0051111,28,28,26,27,83,97,54
FBgn0051116,84,98,167,172,191,295,146
FBgn0051118,21,47,29,36,71,25,48
FBgn0051120,475,640,622,705,1013,877,785
FBgn0051122,1103,1161,1297,1436,2229,1969,1414
FBgn0051126,50,61,72,73,198,129,128
FBgn0051133,42,73,71,71,125,164,87
FBgn0051140,340,304,341,372,603,541,344
FBgn0051150,6375,7224,6177,6356,15852,9019,9698
FBgn0051151,2004,1945,2081,2202,3903,2872,2581
FBgn0051155,159,243,181,193,541,368,354
FBgn0051156,160,162,157,188,395,327,225
FBgn0051158,1785,1656,2090,2146,3134,2623,2140
FBgn0051159,69,107,93,131,209,168,176
FBgn0051184,147,233,244,278,443,491,297
FBgn0051195,442,519,935,1008,1081,1466,693
FBgn0051211,1015,1074,1069,1204,1801,1334,1024
FBgn0051216,854,936,1168,1328,1999,2374,1499
FBgn0051217,48,59,50,38,97,66,71
FBgn0051219,961,1207,1451,1608,1931,3138,3018
FBgn0051223,97,133,148,140,281,233,194
FBgn0051224,1613,1677,1906,1919,3603,2677,2302
FBgn0051229,137,165,183,192,310,241,200
FBgn0051232,222,343,322,380,629,528,404
FBgn0051249,155,176,139,166,338,282,258
FBgn0051251,50,75,81,82,187,162,98
FBgn0051278,43,47,58,54,107,101,83
FBgn0051301,335,449,436,472,986,769,697
FBgn0051314,3118,3138,4552,4917,6932,7169,4864
FBgn0051320,215,201,184,211,503,555,368
FBgn0051324,574,609,846,835,1101,1181,796
FBgn0051337,732,1035,419,567,1708,655,777
FBgn0051342,1511,1652,1776,1867,3249,2848,2639
FBgn0051344,213,283,283,287,474,380,467
FBgn0051352,146,199,288,293,518,715,352
FBgn0051357,274,370,329,395,595,488,411
FBgn0051360,30,52,52,49,65,179,100
FBgn0051361,841,829,1316,1407,1705,1967,751
FBgn0051363,3270,3364,7009,7903,8683,14470,6160
FBgn0051365,315,362,339,351,865,573,448
FBgn0051368,619,619,755,767,1330,1330,861
FBgn0051370,199,183,127,130,339,410,338
FBgn0051388,59,112,72,112,193,153,125
FBgn0051390,139,148,177,166,314,289,226
FBgn0051431,1759,2101,1199,1428,4158,2290,3327
FBgn0051436,68,80,92,113,177,199,110
FBgn0051441,69,104,100,106,169,172,146
FBgn0051445,26,28,44,37,63,57,66
FBgn0051450,124,188,154,187,340,281,262
FBgn0051451,67,70,65,98,157,197,52
FBgn0051453,484,553,674,809,1015,1067,750
FBgn0051457,106,127,123,175,205,202,129
FBgn0051460,101,162,214,233,303,440,285
FBgn0051462,55,33,109,105,96,148,26
FBgn0051472,42,38,50,60,81,86,38
FBgn0051477,20,21,39,38,46,123,25
FBgn0051495,18,33,56,46,62,100,77
FBgn0051510,149,115,111,142,461,391,263
FBgn0051514,16,30,24,12,44,97,62
FBgn0051522,446,442,567,654,1157,1026,784
FBgn0051523,3358,3612,2281,2301,9985,5303,7256
FBgn0051536,2263,2434,2454,2626,5374,3833,2938
FBgn0051546,22,37,45,43,44,66,38
FBgn0051548,300,355,307,354,539,411,543
FBgn0051549,318,421,518,581,596,555,461
FBgn0051550,897,891,1005,1078,1898,1370,904
FBgn0051600,52,31,47,36,112,126,71
FBgn0051601,807,746,690,751,3040,2573,1745
FBgn0051612,133,134,172,169,449,425,240
FBgn0051614,13,17,47,17,102,212,162
FBgn0051619,2688,2761,3581,3773,5365,5025,3874
FBgn0051633,60,87,55,89,176,168,117
FBgn0051635,525,512,519,536,1104,829,583
FBgn0051637,2057,2242,1770,1861,3666,2525,2977
FBgn0051638,509,550,619,657,1016,946,687
FBgn0051641,986,1086,808,942,3042,2343,1358
FBgn0051642,46,30,169,144,62,215,41
FBgn0051648,135,170,209,221,337,296,280
FBgn0051658,92,159,150,202,298,333,196
FBgn0051673,817,1101,1106,1230,2140,2140,1468
FBgn0051674,73,83,106,97,193,197,124
FBgn0051678,2379,2245,2524,2755,5058,3857,3216
FBgn0051687,23,35,24,20,210,100,121
FBgn0051694,1235,1449,1431,1504,2734,2413,1876
FBgn0051710,76,76,63,76,202,154,80
FBgn0051712,466,558,508,546,1139,920,597
FBgn0051713,39,66,46,72,130,103,66
FBgn0051715,142,172,145,169,682,645,347
FBgn0051716,1671,1852,1710,1954,4430,3582,2645
FBgn0051717,391,469,383,456,860,874,669
FBgn0051720,63,77,79,70,246,258,171
FBgn0051729,1959,2137,2237,2375,3788,3294,3437
FBgn0051739,1596,1705,1735,1845,3907,3229,2694
FBgn0051755,228,226,244,222,560,498,390
FBgn0051759,69,57,55,60,145,173,112
FBgn0051769,46,48,31,53,98,85,78
FBgn0051777,142,221,219,299,622,349,461
FBgn0051793,259,332,308,330,626,535,386
FBgn0051800,66,97,95,96,296,227,170
FBgn0051815,43,14,26,21,94,94,15
FBgn0051849,34,34,44,71,55,92,46
FBgn0051852,267,340,355,407,754,652,441
FBgn0051855,173,232,249,274,610,504,302
FBgn0051875,27,32,31,36,60,48,44
FBgn0051898,31,53,27,47,103,136,74
FBgn0051908,1142,1244,1171,1354,2267,1486,1463
FBgn0051915,600,694,839,904,1676,1506,1128
FBgn0051922,16,13,24,26,69,90,48
FBgn0051935,264,318,257,299,656,487,380
FBgn0051950,64,84,97,85,130,131,97
FBgn0051955,283,277,211,211,904,563,515
FBgn0051957,58,72,62,75,226,185,150
FBgn0051961,214,264,247,280,607,443,314
FBgn0051973,43,39,39,50,93,76,54
FBgn0051974,30,31,41,34,62,76,50
FBgn0051989,342,419,353,392,749,556,653
FBgn0051992,3304,3354,3616,3692,8919,8108,5629
FBgn0051997,354,448,346,379,1094,1197,754
FBgn0051998,648,571,677,639,2342,2201,1692
FBgn0051999,836,803,713,772,2603,2390,1839
FBgn0052000,1332,1243,1194,1060,4620,4641,4073
FBgn0052016,729,706,662,699,2717,2278,1665
FBgn0052017,208,167,179,179,675,1062,662
FBgn0052022,113,189,208,239,396,394,295
FBgn0052026,85,39,62,66,192,187,54
FBgn0052027,94,78,95,120,182,175,126
FBgn0052037,96,93,93,128,227,148,148
FBgn0052038,134,168,180,215,493,343,329
FBgn0052039,59,77,65,85,170,209,129
FBgn0052043,103,105,122,155,214,182,106
FBgn0052056,666,785,1059,1315,1249,1528,1133
FBgn0052062,309,326,344,311,756,568,323
FBgn0052066,1702,1813,1785,1986,3874,3115,2624
FBgn0052068,372,479,356,402,1269,765,676
FBgn0052069,40,76,69,95,168,156,102
FBgn0052075,130,120,127,159,383,320,231
FBgn0052076,247,319,318,330,469,432,465
FBgn0052088,39,33,55,50,88,142,141
FBgn0052091,32,26,34,36,64,55,32
FBgn0052095,140,175,161,162,297,273,241
FBgn0052099,88,104,81,94,232,214,178
FBgn0052100,88,109,106,125,211,139,121
FBgn0052103,1757,1749,1764,1807,3883,3293,2165
FBgn0052104,144,113,149,135,260,272,199
FBgn0052109,66,78,80,98,243,321,185
FBgn0052112,87,102,72,89,217,163,130
FBgn0052113,568,506,520,469,1505,1427,1150
FBgn0052115,163,192,187,190,675,975,451
FBgn0052133,1500,1397,1405,1366,3205,1991,2173
FBgn0052138,9923,8984,9660,10580,17440,15471,10415
FBgn0052163,75,84,92,83,243,198,123
FBgn0052170,68,61,50,44,95,55,65
FBgn0052176,159,188,183,209,627,474,231
FBgn0052177,268,336,243,295,604,564,499
FBgn0052179,75,93,63,93,140,105,92
FBgn0052181,27,23,15,27,61,87,71
FBgn0052182,26,24,27,32,39,43,63
FBgn0052190,3168,3720,3602,4349,7314,5047,4204
FBgn0052195,55,43,48,49,147,137,76
FBgn0052202,53,59,57,51,186,104,90
FBgn0052206,45,41,37,34,158,216,114
FBgn0052218,76,57,70,82,262,214,98
FBgn0052221,92,118,127,148,221,185,192
FBgn0052226,149,162,173,182,296,253,245
FBgn0052230,334,440,392,421,1368,1165,865
FBgn0052243,292,337,352,379,1055,1327,844
FBgn0052250,149,166,187,179,266,224,204
FBgn0052251,925,817,613,708,2270,1408,946
FBgn0052262,55,92,90,102,143,128,103
FBgn0052264,925,790,749,893,1542,1006,847
FBgn0052267,93,97,107,105,349,609,380
FBgn0052278,152,194,196,181,588,379,357
FBgn0052280,203,236,278,339,408,629,318
FBgn0052281,92,127,106,115,267,244,196
FBgn0052296,553,458,617,643,996,822,547
FBgn0052311,1304,1150,944,855,2675,1355,1257
FBgn0052343,270,326,374,427,630,547,486
FBgn0052344,798,922,884,967,2208,1499,1311
FBgn0052350,110,124,94,110,399,507,349
FBgn0052364,221,310,298,323,649,678,488
FBgn0052368,177,196,258,224,871,844,226
FBgn0052369,1929,1756,1924,2199,3717,3057,1739
FBgn0052380,670,814,912,910,1565,1428,1215
FBgn0052407,170,187,36,49,411,90,272
FBgn0052409,445,580,503,582,1021,726,660
FBgn0052412,808,1011,639,687,1847,935,1311
FBgn0052418,153,178,161,168,432,261,188
FBgn0052423,3947,3637,3162,3518,13110,9515,5524
FBgn0052425,610,708,693,737,1447,1132,834
FBgn0052428,236,277,220,253,701,490,435
FBgn0052436,252,215,380,366,442,616,469
FBgn0052438,523,538,598,520,1615,1493,1007
FBgn0052441,439,580,626,649,1106,1048,875
FBgn0052446,87,95,119,116,138,190,128
FBgn0052448,23,21,51,53,131,89,77
FBgn0052451,827,918,932,942,2024,1514,1327
FBgn0052452,128,157,149,189,458,359,216
FBgn0052473,394,423,405,488,751,635,532
FBgn0052479,5228,4630,5236,5489,10806,8703,6181
FBgn0052483,25,44,36,45,88,50,34
FBgn0052484,683,723,720,774,1199,873,854
FBgn0052485,158,182,136,165,298,166,190
FBgn0052486,1128,1276,1427,1546,2663,2662,1482
FBgn0052512,685,716,660,753,1542,1017,612
FBgn0052521,2782,2817,1648,1742,5107,2260,2687
FBgn0052528,1019,1341,1473,1612,2206,2017,1895
FBgn0052529,8194,7886,7110,7492,16173,9513,9844
FBgn0052532,24,27,36,34,47,48,36
FBgn0052533,95,99,149,162,178,137,133
FBgn0052537,184,201,191,218,261,200,193
FBgn0052549,1728,1948,1966,2238,3703,2880,2912
FBgn0052554,32,51,57,59,91,95,69
FBgn0052557,31,18,37,35,42,21,44
FBgn0052572,29,28,37,43,68,42,20
FBgn0052576,173,228,179,222,442,504,389
FBgn0052579,177,240,213,229,373,363,332
FBgn0052580,127,97,136,76,643,825,405
FBgn0052582,29,47,42,45,137,136,78
FBgn0052590,56,83,52,65,151,153,74
FBgn0052594,1744,1946,2014,2140,4304,3497,3537
FBgn0052595,104,117,104,126,326,278,193
FBgn0052625,41,79,154,177,133,405,80
